GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,bookapp.core,Book,35,111,5,9,7,26,8,12,4,9
core,bookapp.core,BookComparator,6,37,0,4,1,9,1,4,1,2
core,bookapp.core,User,0,35,0,2,0,13,0,7,0,6
core,bookapp.core,BookReview,18,87,2,6,3,18,5,9,3,7
